time,node,rolling_mean,rolling_min,rolling_std,elevation,degree,pipe_length_avg,pipe_length_max,pipe_diameter_avg,pipe_diameter_max,pipe_age_avg,leak
1800,15,28.646749630809456,28.59362705405755,0.07512666851075227,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
3600,15,28.72650712942372,28.59362705405755,0.14800602662180914,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
5400,15,28.805122370404387,28.59362705405755,0.1983060271450253,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
7200,15,29.044272874188227,28.59362705405755,0.5616571708808256,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
9000,15,29.236833151228428,28.59362705405755,0.6890890971741502,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
10800,15,29.40469753826907,28.59362705405755,0.7700339734448595,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
12600,15,29.555161860368255,28.59362705405755,0.8302776305156351,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
14400,15,29.823015295438307,28.59362705405755,1.1175419409924827,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
16200,15,29.87554911349401,28.59362705405755,1.066644900953654,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
18000,15,30.43885423867279,28.59362705405755,2.1247111603314184,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
19800,15,30.90692901311564,28.59362705405755,2.594826713751327,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
21600,15,31.370304592910173,28.699872207561363,2.6402608967386865,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
23400,15,31.827089194030066,28.88602212665225,2.6102480360124374,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
25200,15,32.68405950820287,29.040968093346386,3.1823108043777193,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
27000,15,33.52982585217165,30.000874889323583,3.4624158353496273,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
28800,15,34.30246787190489,30.199634536429457,3.6336003878581957,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
30600,15,35.061151559998905,30.348353475995367,3.6494934644709964,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
32400,15,35.78439339404243,30.348353475995367,3.5013263141056243,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
34200,15,36.48654022624189,30.348353475995367,3.2009418485338434,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
36000,15,37.07253409101485,30.348353475995367,2.9303306587755205,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
37800,15,37.78903782547422,34.15413401159195,2.058053942671805,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
39600,15,37.58719259938029,33.649762777333436,2.341087603989091,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
41400,15,37.38079644453706,33.57899767386828,2.5848637243885437,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
43200,15,37.50063071657105,33.57899767386828,2.451573237437939,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
45000,15,37.61500908720718,33.57899767386828,2.310594909592734,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
46800,15,37.31553883638999,33.57899767386828,2.323626768548767,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
48600,15,37.0119857620444,33.57899767386828,2.2942133864000716,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
50400,15,36.70655911665953,33.57899767386828,2.2082603694701577,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
52200,15,36.39735202974966,33.57899767386828,2.066763140074182,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
54000,15,36.06960786405708,33.57899767386828,1.9064335729303463,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
55800,15,35.73753707142104,33.57899767386828,1.6762634718012586,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
57600,15,35.694996124169855,33.57899767386828,1.590274289686867,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
59400,15,35.649190448772096,33.57899767386828,1.4930526525239893,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
61200,15,36.040208633023575,33.57899767386828,1.5356353641244496,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
63000,15,36.430079877638946,35.049324589823506,1.445197441785247,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
64800,15,36.65086417034958,35.049324589823506,1.5066192695850245,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
66600,15,36.868777972158036,35.049324589823506,1.522548746235599,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
68400,15,37.07895416689658,35.049324589823506,1.5018086549353657,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
70200,15,37.285598704414355,35.049324589823506,1.4413162287762884,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
72000,15,37.47014597066325,35.049324589823506,1.3455052493987854,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
73800,15,37.73819530916355,35.049324589823506,1.2549805265688359,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
75600,15,38.045132422682336,35.049324589823506,0.9886842760915099,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
77400,15,38.36898643796939,37.82202657649091,0.3453463273057179,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
79200,15,38.08860614476086,35.122714267757665,0.9951170693026904,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
81000,15,37.82001068405163,35.122714267757665,1.2943768382806855,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
82800,15,37.52247174077547,34.771513669037276,1.5488427754307037,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
84600,15,37.23322936052828,34.771513669037276,1.714357101633009,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
86400,15,36.50412911844102,29.492353883480327,2.777418781793976,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
88200,15,35.789387845118924,29.492353883480327,3.353860375267142,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
90000,15,35.092667831907654,29.492353883480327,3.6829114789669157,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
91800,15,34.41433968253255,29.492353883480327,3.839559877194296,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
93600,15,33.83209483809869,29.492353883480327,3.805438946323206,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
95400,15,33.18366297844626,29.492353883480327,3.5333363203666166,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
97200,15,32.43041372421927,29.492353883480327,3.161541616801495,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
99000,15,31.667164027669802,29.492353883480327,2.4805416630457007,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
100800,15,31.27500175450919,29.492353883480327,2.2454221443911027,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
102600,15,30.882535853040014,29.492353883480327,1.8846643796728593,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
104400,15,31.00053103483593,29.492353883480327,2.17260864224697,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
106200,15,31.11603005172206,29.492353883480327,2.4154452478095334,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
108000,15,31.685536197903733,29.59189821046992,2.776492307907982,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
109800,15,32.251443281315005,29.737497065246984,2.9944768013697196,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
111600,15,33.0973866155448,29.77657641467453,3.5936549621792397,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
113400,15,33.9347632322137,29.77657641467453,3.932423606243556,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
115200,15,34.70230657942694,29.77657641467453,4.164443469991642,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
117000,15,35.45845066594443,29.77657641467453,4.2594763504729345,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
118800,15,36.30124438737418,29.77657641467453,4.033081551262915,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
120600,15,37.14331415677473,30.416766989830343,3.575936706388867,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
122400,15,37.93026605935934,30.463993838593773,2.944393958790884,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
124200,15,38.71086037026843,36.17253224891988,1.8070601412301628,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
126000,15,38.70298113725323,36.09290505440591,1.819228222286638,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
127800,15,38.69209978172899,36.041955982628956,1.8360522626426048,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
129600,15,38.66656940211923,36.02006308234334,1.873681860279647,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
131400,15,38.632622092588115,35.97541549703173,1.9218911563880756,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
133200,15,38.308132339532946,35.97541549703173,2.0168864250402665,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
135000,15,37.97706462425895,35.96303080327539,2.0511842996890803,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
136800,15,37.641456591859104,35.96303080327539,2.0110415909098953,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
138600,15,37.29963586911,35.96303080327539,1.9002545931547177,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
140400,15,36.93546698615639,35.545608253939555,1.7674423537754793,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
142200,15,36.56485634920568,35.43408600407247,1.5459534687944918,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
144000,15,36.48236946005928,35.43408600407247,1.370604031079968,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
145800,15,36.39449932477554,35.43408600407247,1.152908064707883,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
147600,15,36.61338070019875,35.43408600407247,1.3266787537462763,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
149400,15,36.82920569017913,35.43408600407247,1.431769164006749,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
151200,15,37.04539176761317,35.43408600407247,1.4930320274143136,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
153000,15,37.258981139179795,35.43408600407247,1.5092934215490372,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
154800,15,37.46479937893866,35.43408600407247,1.4895209519083092,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
156600,15,37.66711369098169,35.43408600407247,1.4307149951716491,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
158400,15,37.847208295878026,35.43408600407247,1.3372675735124766,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
160200,15,38.021031253364,35.43408600407247,1.204386932745123,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
162000,15,38.21823443214115,35.43408600407247,0.9231131255970391,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
163800,15,38.41607646503123,37.80819039875348,0.3464721252342112,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
165600,15,38.07701785892001,34.801643877754174,1.078665188615056,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
