time,node,rolling_mean,rolling_min,rolling_std,elevation,degree,pipe_length_avg,pipe_length_max,pipe_diameter_avg,pipe_diameter_max,pipe_age_avg,leak
1800,15,28.646749630809456,28.593627054057546,0.0751266685107623,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
3600,15,28.726507129423723,28.593627054057546,0.148006026621815,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
5400,15,28.80512237040439,28.593627054057546,0.1983060271450265,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
7200,15,29.044272874188227,28.593627054057546,0.5616571708808242,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
9000,15,29.236833151228435,28.593627054057546,0.6890890971741482,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
10800,15,29.404697538269076,28.593627054057546,0.7700339734448588,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
12600,15,29.55516186036825,28.593627054057546,0.8302776305156339,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
14400,15,29.823015295438307,28.593627054057546,1.1175419409924792,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
16200,15,29.87554911349401,28.593627054057546,1.0666449009536507,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
18000,15,30.43885423867279,28.593627054057546,2.124711160331416,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
19800,15,30.906929013115644,28.593627054057546,2.594826713751325,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
21600,15,31.538615797493176,28.69987220756137,2.886730288570397,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
23400,15,32.16542505001648,28.886022126652257,3.027485757910203,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
25200,15,33.06783482995127,29.040968093346383,3.5328450279955814,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
27000,15,33.96063922413033,30.000874889323583,3.768568439124979,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
28800,15,34.78167214361067,30.199634536429457,3.898454369626967,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
30600,15,35.59028297652416,30.34835347599537,3.867860114643552,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
32400,15,36.36622175541796,30.34835347599537,3.663127756242972,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
34200,15,37.12244258720625,30.34835347599537,3.2834318684290813,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
36000,15,37.76335814653182,30.34835347599537,2.915374535116062,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
37800,15,38.5361034073236,36.055751531987,1.7785978562376414,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
39600,15,38.51949560035946,35.87261180689093,1.8044419932595124,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
41400,15,38.499429883099104,35.81496292486273,1.8354031149908907,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
43200,15,38.469159749638806,35.81062686506435,1.879704544863174,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
45000,15,38.4313851141417,35.76828761187572,1.932783390649788,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
46800,15,38.104143072816335,35.76828761187572,2.0258984044651607,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
48600,15,37.77108481933632,35.757921781734815,2.058164489761426,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
50400,15,37.43462351523053,35.757921781734815,2.0164297471185613,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
52200,15,37.09268327041727,35.757921781734815,1.904614690653268,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
54000,15,36.72852041221247,35.35319490878104,1.768877969641521,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
55800,15,36.3585258531724,35.243127388041245,1.5448608696877717,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
57600,15,36.27714361264004,35.243127388041245,1.3712844389436492,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
59400,15,36.1910448737532,35.243127388041245,1.1580897148506726,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
61200,15,36.41267193904928,35.243127388041245,1.3328976568192714,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
63000,15,36.63192757852657,35.243127388041245,1.4379022835201258,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
64800,15,36.85015152810208,35.243127388041245,1.4993270145197133,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
66600,15,37.065710715270775,35.243127388041245,1.515505923510649,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
68400,15,37.27360618400068,35.243127388041245,1.4952803877003618,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
70200,15,37.47797445724847,35.243127388041245,1.4356966679154763,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
72000,15,37.66016333553908,35.243127388041245,1.3411908511352792,9.7536,1,502.92,502.92,0.2032,0.2032,25.0,0
